Designator,Footprint,Quantity,Value,LCSC Part #
"C12, C19, C32, C9",0805,4,10uF,C15850
"C13, C16, C17, C21, C22, C33, C8",0805,7,100nF, C60474
"C25, C28",0805,2,100nF,C1546
"D4, D5, D6",0805,3,LED,C2297
"J1, J7",Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,2,SHT20,
J2,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,Power,
J4,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,~,
J6,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,Power,
J8,PinHeader_1x04_P2.54mm_Vertical,1,~,
"R12, R16, R18, R19, R23, R24, R25",0603,7,1K,C21190
"R20, R21, R27, R28",0603,4,4.7K,C23162
R22,0603,1,10K,C25804
"R30, R31",0805,2,20K,C163978
R32,0805,1,120,C2907224
"SW2, SW3",SW_SPST_CK_RS282G05A3,2,SW_Push,C2689642
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U6,ESP32-WROOM-32,1,ESP32-WROOM-32,C529577
U8,SSOP-8_2.95x2.8mm_P0.65mm,1,TXS0102DCT,
U9,SOP-8_3.9x4.9mm_P1.27mm,1,MAX485E,C481667
