Designator,Mid X,Mid Y,Rotation,Layer
C12,26.147,-58.0125,270.0,top
C13,23.89,-58.0125,270.0,top
C16,3.09,-21.51,90.0,bottom
C17,7.715,-14.0,0.0,top
C19,7.715,-8.175,180.0,top
C21,7.715,-10.283333,180.0,top
C22,7.58,-21.6575,270.0,bottom
C25,20.72,-38.76,180.0,top
C28,10.5725,-38.7,0.0,top
C32,12.22,-51.99,0.0,top
C33,12.21,-49.79,180.0,top
C8,30.661,-58.0125,270.0,top
C9,28.404,-58.0125,270.0,top
D4,34.69,-57.9825,90.0,top
D5,37.225,-27.29,0.0,top
D6,37.225,-21.83,0.0,top
J1,4.03,-33.73,90.0,top
J2,20.0,-68.06,180.0,top
J4,36.14,-34.37,270.0,top
J6,36.14,-45.77,270.0,top
J7,4.03,-45.17,90.0,top
J8,37.78,-14.54,0.0,top
R12,32.668,-57.7825,90.0,top
R16,7.945,-12.141666,0.0,top
R18,37.47,-25.381666,0.0,top
R19,37.47,-23.738333,0.0,top
R20,32.94,-13.81,0.0,top
R21,32.94,-12.12,0.0,top
R22,20.4925,-36.92,0.0,top
R23,3.9075,-58.34,180.0,top
R24,3.9075,-56.5775,180.0,top
R25,3.9075,-54.815,180.0,top
R27,10.8025,-40.56,180.0,top
R28,10.7825,-42.13,180.0,top
R30,16.92,-58.69,180.0,top
R31,16.92,-54.215,0.0,top
R32,16.92,-56.4525,0.0,top
SW2,3.09,-21.48,90.0,top
SW3,7.53,-21.48,270.0,top
U3,27.44,-51.275,270.0,top
U6,20.0,-16.56,0.0,top
U8,15.62,-38.065,90.0,top
U9,10.3575,-56.565,270.0,top
