Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C4, C5, C8",0805,5,100nF, C60474
"C2, C3, C6, C9",0805,4,10uF,C15850
"D1, D2, D3",0805,3,LED,C2297
"J1, J5","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",2,Power,
J2,PinHeader_1x04_P2.54mm_Vertical,1,~,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"R1, R10, R5, R6, R7, R8, R9",0603,7,1K,C21190
R2,0805,1,120,C2907224
"R3, R4",0805,2,20K,C163978
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,WIRELM-SMD_RA-02-BL,1,RA-02,C90039
U3,SOP-8_3.9x4.9mm_P1.27mm,1,MAX485E,C481667
U4,ESP32-WROOM-32U,1,ESP32-WROOM-32,C529577
