Designator,Mid X,Mid Y,Rotation,Layer
C1,82.29,-103.0725,270.0,top
C10,59.545,-86.9525,270.0,top
C2,80.031,-103.0725,270.0,top
C3,77.772,-103.0725,270.0,top
C4,75.513,-103.0725,270.0,top
C5,74.07,-89.8175,90.0,top
C6,72.0,-89.8175,270.0,top
C8,63.791666,-86.9525,90.0,top
C9,61.668333,-86.9525,270.0,top
D1,71.48,-103.0875,270.0,top
D2,82.0825,-88.488332,0.0,top
D3,82.0825,-86.371666,0.0,top
J1,70.35,-111.035,180.0,top
J2,82.32,-59.43,0.0,top
J4,78.35,-58.145,0.0,top
J5,70.35,-38.105,0.0,top
R1,73.504,-102.8425,270.0,top
R10,82.2825,-84.52,0.0,top
R2,72.84,-94.87,0.0,top
R3,72.85,-92.8,0.0,top
R4,72.84,-96.93,180.0,top
R5,61.2575,-90.93,180.0,top
R6,61.2675,-92.53,180.0,top
R7,61.2775,-94.16,180.0,top
R8,65.665,-86.7225,90.0,top
R9,82.2825,-90.34,0.0,top
U1,79.7,-96.51,270.0,top
U2,67.1675,-53.96,0.0,top
U3,67.085,-92.615,270.0,top
U4,68.9,-74.995,90.0,top
