Designator,Mid X,Mid Y,Rotation,Layer
C1,7.3,-13.7125,90.0,top
C2,9.46,-13.7225,90.0,top
C5,9.24,-5.0725,90.0,top
D1,21.54,-49.75,180.0,top
J1,10.5,12.0,0.0,top
J2,10.5,-61.055,180.0,top
J3,13.515,-31.375,180.0,top
J4,20.14,-10.98,90.0,top
J5,20.13,-14.73,270.0,top
J6,20.325,-46.8,270.0,top
Q1,10.0,-48.8,90.0,top
R1,21.74,-51.64,180.0,top
R11,19.53,-41.7,0.0,top
R12,19.53,-38.75,0.0,top
R13,19.53,-35.8,0.0,top
R14,19.53,-32.85,0.0,top
R15,19.53,-29.9,0.0,top
R16,19.53,-26.95,0.0,top
R17,19.53,-24.0,0.0,top
R18,19.53,-21.05,0.0,top
R19,7.35,-5.35,270.0,top
R20,8.37,-2.0325,0.0,top
RV1,13.8,-10.49,270.0,top
SW1,20.115,-7.23,90.0,top
U1,8.49,-9.4225,270.0,top
